,no,date,lon,lat,depth,scale,month
60,第079號,2013-06-20 13:18:00,121.64,24.34,24.2,3.8,6
62,第080號,2013-06-20 23:11:00,121.48,23.91,15.1,4.1,6
64,小區域,2013-06-21 02:22:00,121.41,23.75,19.8,2.8,6
66,小區域,2013-06-21 12:51:00,120.97,23.93,8.4,3.3,6
68,小區域,2013-06-21 19:02:00,121.48,23.71,6.9,2.6,6
70,第081號,2013-06-21 21:38:00,121.49,24.28,5.3,3.9,6
72,小區域,2013-06-24 09:08:00,121.48,24.29,6.3,3.0,6
74,小區域,2013-06-24 10:16:00,121.93,24.29,14.7,3.7,6
76,小區域,2013-06-24 13:57:00,121.43,24.39,7.0,3.1,6
78,小區域,2013-06-25 06:41:00,122.04,24.85,10.3,3.7,6
80,小區域,2013-06-25 11:00:00,122.08,24.84,6.7,3.6,6
82,小區域,2013-06-26 03:56:00,122.04,24.85,13.5,3.9,6
84,小區域,2013-06-26 04:38:00,121.45,23.31,26.1,3.6,6
86,小區域,2013-06-26 04:48:00,122.05,24.84,10.2,3.8,6
88,小區域,2013-06-26 17:57:00,121.47,23.92,15.2,2.4,6
90,第082號,2013-06-26 18:19:00,121.87,24.79,10.0,4.5,6
92,小區域,2013-06-27 07:35:00,120.96,23.21,6.0,3.4,6
94,小區域,2013-06-28 15:31:00,121.4,22.2,21.0,3.8,6
96,第083號,2013-06-29 06:13:00,121.83,24.42,12.0,3.5,6
98,第084號,2013-06-29 07:51:00,122.24,24.03,19.8,5.7,6
100,小區域,2013-06-30 12:06:00,120.02,22.37,35.3,2.9,6
102,小區域,2013-06-30 12:45:00,121.0,23.99,16.3,3.9,6
104,小區域,2013-06-30 12:57:00,121.01,24.0,16.3,4.1,6
106,小區域,2013-06-30 13:35:00,121.0,24.0,16.6,3.4,6
108,小區域,2013-06-30 20:36:00,121.01,24.0,16.9,3.8,6
0,小區域,2013-07-02 02:08:00,121.91,24.3,7.4,3.9,7
2,第085號,2013-07-03 16:14:00,121.94,24.45,12.3,3.9,7
4,小區域,2013-07-04 01:02:00,121.79,24.29,14.2,3.3,7
6,小區域,2013-07-04 16:26:00,121.38,23.0,19.3,3.2,7
8,第086號,2013-07-06 12:17:00,121.33,22.84,21.2,4.1,7
10,小區域,2013-07-06 13:15:00,121.44,24.24,7.2,3.0,7
12,小區域,2013-07-09 23:50:00,121.48,24.29,6.8,3.7,7
14,小區域,2013-07-10 17:18:00,121.49,24.28,5.5,3.3,7
16,小區域,2013-07-11 13:44:00,121.64,24.33,24.0,3.5,7
18,第087號,2013-07-11 13:55:00,121.63,24.33,23.5,3.4,7
